ceo|core|claude-opus-4.6|20|Read, Write, Edit, Bash, WebFetch
pr-comment-resolver|core|sonnet|20|Read,Edit,Write,Bash,Glob,Grep
andrea-customer-success-manager|business_operations|haiku|15|claude
anna-executive-assistant|business_operations|haiku|15|claude
dave-change-management-specialist|business_operations|haiku|15|claude
davide-project-manager|business_operations|haiku|15|claude
enrico-business-process-engineer|business_operations|haiku|15|claude
fabio-sales-business-development|business_operations|haiku|15|claude
luke-program-manager|business_operations|haiku|15|claude
marcello-pm|business_operations|haiku|15|claude
sofia-marketing-strategist|business_operations|haiku|15|claude
steve-executive-communication-strategist|business_operations|haiku|15|claude
dr-enzo-healthcare-compliance-manager|compliance_legal|sonnet|20|claude
elena-legal-compliance-expert|compliance_legal|sonnet|20|claude
guardian-ai-security-validator|compliance_legal|sonnet|20|claude
luca-security-expert|compliance_legal|sonnet|20|claude
sophia-govaffairs|compliance_legal|sonnet|20|claude
ali-orchestrator|core_utility|opus|100|claude,copilot
compliance-validator|core_utility|opus|20|claude
context-optimizer|core_utility|opus|50|claude
deep-repo-auditor|core_utility|opus|50|Read,Write,Edit,Bash,Glob,Grep,Task,claude
design-validator|core_utility|sonnet|20|claude,copilot
diana-performance-dashboard|core_utility|sonnet|15|claude
doc-validator|core_utility|sonnet|20|claude,copilot
marcus-context-memory-keeper|core_utility|sonnet|15|claude
plan-business-advisor|core_utility|opus|20|claude
plan-post-mortem|core_utility|opus|30|claude
plan-reviewer|core_utility|opus|25|claude
po-prompt-optimizer|core_utility|haiku|15|claude
sentinel-ecosystem-guardian|core_utility|opus|50|claude
socrates-first-principles-reasoning|core_utility|sonnet|20|claude
strategic-planner|core_utility|opus|40|
taskmaster-strategic-task-decomposition-master|core_utility|haiku|20|claude
thor-quality-assurance-guardian|core_utility|sonnet|30|claude
wanda-workflow-orchestrator|core_utility|sonnet|20|claude
xavier-coordination-patterns|core_utility|sonnet|20|claude
jony-creative-director|design_ux|sonnet|30|Read,Glob,Grep,WebSearch,WebFetch,Write,Edit,claude
nasra-app-builder|design_ux|claude-sonnet-4-6|80|Read,Glob,Grep,Bash,Write,Edit,Task,claude,copilot
sara-ux-ui-designer|design_ux|haiku|15|claude
stefano-design-thinking-facilitator|design_ux|haiku|15|claude
ali-chief-of-staff|leadership_strategy|sonnet|40|claude
amy-cfo|leadership_strategy|sonnet|20|claude
antonio-strategy-expert|leadership_strategy|sonnet|20|claude
dan-engineering-gm|leadership_strategy|sonnet|20|claude
domik-mckinsey-strategic-decision-maker|leadership_strategy|sonnet|20|claude
matteo-strategic-business-architect|leadership_strategy|sonnet|20|claude
satya-board-of-directors|leadership_strategy|opus|30|claude
app-release-manager-execution|release_management|sonnet|20|
app-release-manager|release_management|sonnet|40|claude
ecosystem-sync|release_management|sonnet|30|claude
feature-release-manager|release_management|haiku|15|claude
mirrorbuddy-hardening-checks|release_management|sonnet|20|claude
research-report-generator|research_report|opus|50|claude,copilot
behice-cultural-coach|specialized_experts|sonnet|20|claude
coach-team-coach|specialized_experts|haiku|15|claude
fiona-market-analyst|specialized_experts|haiku|15|claude
giulia-hr-talent-acquisition|specialized_experts|haiku|15|claude
jenny-inclusive-accessibility-champion|specialized_experts|haiku|15|claude
sam-startupper|specialized_experts|haiku|15|claude
wiz-investor-venture-capital|specialized_experts|haiku|15|claude
adversarial-debugger|technical_development|sonnet|25|claude
baccio-tech-architect|technical_development|sonnet|20|claude
dario-debugger|technical_development|sonnet|15|claude,label: Fix bugs
marco-devops-engineer|technical_development|haiku|15|claude
omri-data-scientist|technical_development|haiku|15|claude
otto-performance-optimizer|technical_development|sonnet|15|claude
paolo-best-practices-enforcer|technical_development|haiku|15|claude
rex-code-reviewer|technical_development|haiku|15|claude,label: Fix issues
task-executor-tdd|technical_development|sonnet|20|
task-executor|technical_development|sonnet|50|claude
